Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-AMR2U,Study sample,0257_XAV_iHMP2_LIP_SM-AMR2U.raw,,4/7/2017,4/9/2017,1,274,PREFB14
SM-AMR37,Study sample,0393_XAV_iHMP2_LIP_SM-AMR37.raw,,4/11/2017,4/12/2017,1,424,PREFB21
SM-AMR3J,Study sample,0437_XAV_iHMP2_LIP_SM-AMR3J.raw,,4/11/2017,4/12/2017,1,472,PREFB23
SM-AN5FR,Study sample,0061_XAV_iHMP2_LIP_SM-AN5FR.raw,,4/5/2017,4/6/2017,1,67,PREFB04
SM-AN5FZ,Study sample,0524_XAV_iHMP2_LIP_SM-AN5FZ.raw,,4/12/2017,4/14/2017,1,568,PREFB27
SM-APDWQ,Study sample,0243_XAV_iHMP2_LIP_SM-APDWQ.raw,,4/7/2017,4/9/2017,1,260,PREFB14
SM-APDXF,Study sample,0409_XAV_iHMP2_LIP_SM-APDXF.raw,,4/11/2017,4/12/2017,1,442,PREFB21
SM-APDY4,Study sample,0182_XAV_iHMP2_LIP_SM-APDY4.raw,,4/6/2017,4/8/2017,1,193,PREFB10
SM-APR9M,Study sample,0168_XAV_iHMP2_LIP_SM-APR9M.raw,,4/6/2017,4/8/2017,1,177,PREFB09
SM-APR9Q,Study sample,0506_XAV_iHMP2_LIP_SM-APR9Q.raw,,4/12/2017,4/13/2017,1,549,PREFB26
SM-AQJXS,Study sample,0520_XAV_iHMP2_LIP_SM-AQJXS.raw,,4/12/2017,4/13/2017,1,562,PREFB27
SM-ARB69,Study sample,0499_XAV_iHMP2_LIP_SM-ARB69.raw,,4/12/2017,4/13/2017,1,540,PREFB26
SM-ARMBQ,Study sample,0104_XAV_iHMP2_LIP_SM-ARMBQ.raw,,4/6/2017,4/7/2017,1,113,PREFB06
SM-ARMBY,Study sample,0525_XAV_iHMP2_LIP_SM-ARMBY.raw,,4/12/2017,4/14/2017,1,569,PREFB27
SM-ARMC7,Study sample,0329_XAV_iHMP2_LIP_SM-ARMC7.raw,,4/10/2017,4/11/2017,1,350,PREFB17
SM-ARMCB,Study sample,0292_XAV_iHMP2_LIP_SM-ARMCB.raw,,4/7/2017,4/10/2017,1,307,PREFB16
SM-ARMDG,Study sample,0398_XAV_iHMP2_LIP_SM-ARMDG.raw,,4/11/2017,4/12/2017,1,429,PREFB21
SM-ARNW1,Study sample,0309_XAV_iHMP2_LIP_SM-ARNW1.raw,,4/7/2017,4/10/2017,1,324,PREFB16
SM-ARWVG,Study sample,0062_XAV_iHMP2_LIP_SM-ARWVG.raw,,4/5/2017,4/6/2017,1,68,PREFB04
SM-ASN2R,Study sample,0366_XAV_iHMP2_LIP_SM-ASN2R.raw,,4/10/2017,4/11/2017,1,390,PREFB19
SM-ASN2Z,Study sample,0464_XAV_iHMP2_LIP_SM-ASN2Z.raw,,4/11/2017,4/13/2017,1,503,PREFB24
SM-ATLL1,Study sample,0370_XAV_iHMP2_LIP_SM-ATLL1.raw,,4/10/2017,4/11/2017,1,394,PREFB19
SM-ATVSR,Study sample,0528_XAV_iHMP2_LIP_SM-ATVSR.raw,,4/12/2017,4/14/2017,1,572,PREFB27
SM-ATVT8,Study sample,0178_XAV_iHMP2_LIP_SM-ATVT8.raw,,4/6/2017,4/8/2017,1,187,PREFB10
SM-AU2MF,Study sample,0535_XAV_iHMP2_LIP_SM-AU2MF.raw,,4/12/2017,4/14/2017,1,579,PREFB28
SM-AUNQ5,Study sample,0514_XAV_iHMP2_LIP_SM-AUNQ5.raw,,4/12/2017,4/13/2017,1,556,PREFB27
SM-AUP8B,Study sample,0407_XAV_iHMP2_LIP_SM-AUP8B.raw,,4/11/2017,4/12/2017,1,440,PREFB21
SM-AV8JF,Study sample,0360_XAV_iHMP2_LIP_SM-AV8JF.raw,,4/10/2017,4/11/2017,1,382,PREFB19
SM-AVADD,Study sample,0091_XAV_iHMP2_LIP_SM-AVADD.raw,,4/6/2017,4/7/2017,1,98,PREFB06
SM-AVADL,Study sample,0229_XAV_iHMP2_LIP_SM-AVADL.raw,,4/7/2017,4/9/2017,1,246,PREFB12
SM-AVADT,Study sample,0438_XAV_iHMP2_LIP_SM-AVADT.raw,,4/11/2017,4/12/2017,1,473,PREFB23
SM-AVAE6,Study sample,0354_XAV_iHMP2_LIP_SM-AVAE6.raw,,4/10/2017,4/11/2017,1,376,PREFB19
SM-AVJBU,Study sample,0489_XAV_iHMP2_LIP_SM-AVJBU.raw,,4/12/2017,4/13/2017,1,530,PREFB25
SM-AVPGV,Study sample,0017_XAV_iHMP2_LIP_SM-AVPGV.raw,,4/5/2017,4/6/2017,1,17,PREFB02
SM-AVPGZ,Study sample,0456_XAV_iHMP2_LIP_SM-AVPGZ.raw,,4/11/2017,4/12/2017,1,493,PREFB24
SM-AVR6W,Study sample,0529_XAV_iHMP2_LIP_SM-AVR6W.raw,,4/12/2017,4/14/2017,1,573,PREFB27
SM-AVR79,Study sample,0496_XAV_iHMP2_LIP_SM-AVR79.raw,,4/12/2017,4/13/2017,1,537,PREFB26
SM-AW574,Study sample,0190a_0080ri_XAV_iHMP2_LIP_SM-AW574.raw,,4/5/2017,4/8/2017,1,202,PREFB10
SM-AWJJY,Study sample,0540_XAV_iHMP2_LIP_SM-AWJJY.raw,,4/12/2017,4/14/2017,1,584,PREFB28
SM-AWQK7,Study sample,0444_XAV_iHMP2_LIP_SM-AWQK7.raw,,4/11/2017,4/12/2017,1,481,PREFB23
SM-AXQRD,Study sample,0406_XAV_iHMP2_LIP_SM-AXQRD.raw,,4/11/2017,4/12/2017,1,439,PREFB21
SM-AXQRH,Study sample,0503_XAV_iHMP2_LIP_SM-AXQRH.raw,,4/12/2017,4/13/2017,1,546,PREFB26
SM-AXTSZ,Study sample,0138_XAV_iHMP2_LIP_SM-AXTSZ.raw,,4/6/2017,4/7/2017,1,143,PREFB08
SM-AXTT4,Study sample,0105_XAV_iHMP2_LIP_SM-AXTT4.raw,,4/6/2017,4/7/2017,1,114,PREFB06
SM-AYMHV,Study sample,0516_XAV_iHMP2_LIP_SM-AYMHV.raw,,4/12/2017,4/13/2017,1,558,PREFB27
SM-B1JO5,Study sample,0373_XAV_iHMP2_LIP_SM-B1JO5.raw,,4/10/2017,4/11/2017,1,397,PREFB20
SM-B1JOP,Study sample,0107_XAV_iHMP2_LIP_SM-B1JOP.raw,,4/6/2017,4/7/2017,1,116,PREFB06
SM-B1SBW,Study sample,0439_XAV_iHMP2_LIP_SM-B1SBW.raw,,4/11/2017,4/12/2017,1,474,PREFB23
SM-B2OQ7,Study sample,0497_XAV_iHMP2_LIP_SM-B2OQ7.raw,,4/12/2017,4/13/2017,1,538,PREFB26
SM-B2OQN,Study sample,0491_XAV_iHMP2_LIP_SM-B2OQN.raw,,4/12/2017,4/13/2017,1,532,PREFB26
SM-B4A4G,Study sample,0191_XAV_iHMP2_LIP_SM-B4A4G.raw,,4/7/2017,4/8/2017,1,204,PREFB11
SM-B4LHS,Study sample,0441_XAV_iHMP2_LIP_SM-B4LHS.raw,,4/11/2017,4/12/2017,1,478,PREFB23
SM-B58FG,Study sample,0314_XAV_iHMP2_LIP_SM-B58FG.raw,,4/10/2017,4/10/2017,1,338,PREFB17
SM-B58G1,Study sample,0018_XAV_iHMP2_LIP_SM-B58G1.raw,,4/5/2017,4/6/2017,1,18,PREFB02
SM-B5F8Y,Study sample,0359_XAV_iHMP2_LIP_SM-B5F8Y.raw,,4/10/2017,4/11/2017,1,381,PREFB19
SM-B5F9B,Study sample,0465_XAV_iHMP2_LIP_SM-B5F9B.raw,,4/11/2017,4/13/2017,1,504,PREFB24
SM-B5ORH,Study sample,0530_XAV_iHMP2_LIP_SM-B5ORH.raw,,4/12/2017,4/14/2017,1,574,PREFB27
SM-BYMCC,Study sample,0058_XAV_iHMP2_LIP_SM-BYMCC.raw,,4/5/2017,4/6/2017,1,62,PREFB04
SM-BZ5M6,Study sample,0517_XAV_iHMP2_LIP_SM-BZ5M6.raw,,4/12/2017,4/13/2017,1,559,PREFB27
SM-BZIQP,Study sample,0532_XAV_iHMP2_LIP_SM-BZIQP.raw,,4/12/2017,4/14/2017,1,576,PREFB28
SM-BZNKI,Study sample,0537_XAV_iHMP2_LIP_SM-BZNKI.raw,,4/12/2017,4/14/2017,1,581,PREFB28
SM-BZNLC,Study sample,0541_XAV_iHMP2_LIP_SM-BZNLC.raw,,4/12/2017,4/14/2017,1,587,PREFB28
SM-BZWMX,Study sample,0090_XAV_iHMP2_LIP_SM-BZWMX.raw,,4/5/2017,4/7/2017,1,97,PREFB05
SM-C1MZ3,Study sample,0102_XAV_iHMP2_LIP_SM-C1MZ3.raw,,4/6/2017,4/7/2017,1,111,PREFB06
SM-C1WB2,Study sample,0459_XAV_iHMP2_LIP_SM-C1WB2.raw,,4/11/2017,4/13/2017,1,496,PREFB24
SM-CE6ZH,Study sample,0504_XAV_iHMP2_LIP_SM-CE6ZH.raw,,4/12/2017,4/13/2017,1,547,PREFB26
SM-CE9V4,Study sample,0492_XAV_iHMP2_LIP_SM-CE9V4.raw,,4/12/2017,4/13/2017,1,533,PREFB26
SM-CEFO7,Study sample,0442_XAV_iHMP2_LIP_SM-CEFO7.raw,,4/11/2017,4/12/2017,1,479,PREFB23
SM-CG7AV,Study sample,0500_XAV_iHMP2_LIP_SM-CG7AV.raw,,4/12/2017,4/13/2017,1,541,PREFB26
SM-CH32H,Study sample,0505_XAV_iHMP2_LIP_SM-CH32H.raw,,4/12/2017,4/13/2017,1,548,PREFB26
SM-CH32P,Study sample,0460_XAV_iHMP2_LIP_SM-CH32P.raw,,4/11/2017,4/13/2017,1,497,PREFB24
SM-CHS72,Study sample,0103_XAV_iHMP2_LIP_SM-CHS72.raw,,4/6/2017,4/7/2017,1,112,PREFB06
SM-CHS76,Study sample,0372_XAV_iHMP2_LIP_SM-CHS76.raw,,4/10/2017,4/11/2017,1,396,PREFB20
SM-CHZLQ,Study sample,0466_XAV_iHMP2_LIP_SM-CHZLQ.raw,,4/11/2017,4/13/2017,1,505,PREFB24
SM-CJ2ZF,Study sample,0436_XAV_iHMP2_LIP_SM-CJ2ZF.raw,,4/11/2017,4/12/2017,1,471,PREFB23
SM-CJNBH,Study sample,0526_XAV_iHMP2_LIP_SM-CJNBH.raw,,4/12/2017,4/14/2017,1,570,PREFB27
SM-CKJ6T,Study sample,0521_XAV_iHMP2_LIP_SM-CKJ6T.raw,,4/12/2017,4/13/2017,1,565,PREFB27
SM-CL4HR,Study sample,0467_XAV_iHMP2_LIP_SM-CL4HR.raw,,4/11/2017,4/13/2017,1,506,PREFB24
