Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-9X47O,Study sample,0508_XAV_iHMP2_CMH_SM-9X47O.raw,,3/9/2017,3/12/2017,2,566,
SM-9XIOJ,Study sample,0035_XAV_iHMP2_CMH_SM-9XIOJ.raw,,2/27/2017,3/1/2017,1,39,
SM-9XIOX,Study sample,0539_XAV_iHMP2_CMH_SM-9XIOX.raw,,3/9/2017,3/13/2017,2,599,
SM-9XKWX,Study sample,0311_XAV_iHMP2_CMH_SM-9XKWX.raw,,3/6/2017,3/8/2017,2,347,
SM-9Y49Z,Study sample,0538_XAV_iHMP2_CMH_SM-9Y49Z.raw,,3/9/2017,3/13/2017,2,598,
SM-9Y4AC,Study sample,0038_XAV_iHMP2_CMH_SM-9Y4AC.raw,,2/27/2017,3/1/2017,1,42,
SM-9Y7CW,Study sample,0197_XAV_iHMP2_CMH_SM-9Y7CW.raw,,3/2/2017,3/4/2017,1,219,
SM-9YHLB,Study sample,0056_XAV_iHMP2_CMH_SM-9YHLB.raw,,2/27/2017,3/1/2017,1,62,
SM-9YTMA,Study sample,0454_XAV_iHMP2_CMH_SM-9YTMA.raw,,3/9/2017,3/11/2017,2,506,
SM-9ZA1W,Study sample,0167_XAV_iHMP2_CMH_SM-9ZA1W.raw,,3/1/2017,3/4/2017,1,187,
SM-9ZA5J,Study sample,0404_XAV_iHMP2_CMH_SM-9ZA5J.raw,,3/8/2017,3/10/2017,2,452,
SM-9ZA5V,Study sample,0161_XAV_iHMP2_CMH_SM-9ZA5V.raw,,3/1/2017,3/3/2017,1,181,
SM-9ZE8H,Study sample,0258_XAV_iHMP2_CMH_SM-9ZE8H.raw,,3/2/2017,3/6/2017,1,286,PREFB15
SM-9ZE8P,Study sample,0135_XAV_iHMP2_CMH_SM-9ZE8P.raw,,3/1/2017,3/3/2017,1,151,
SM-9ZE8T,Study sample,0446_XAV_iHMP2_CMH_SM-9ZE8T.raw,,3/8/2017,3/11/2017,2,498,
SM-9ZEPA,Study sample,0020_XAV_iHMP2_CMH_SM-9ZEPA.raw,,2/27/2017,2/28/2017,1,22,
SM-9ZGIF,Study sample,0498_XAV_iHMP2_CMH_SM-9ZGIF.raw,,3/9/2017,3/12/2017,2,554,
SM-9ZJIA,Study sample,0355_XAV_iHMP2_CMH_SM-9ZJIA.raw,,3/7/2017,3/9/2017,2,395,
SM-9ZJII,Study sample,0144_XAV_iHMP2_CMH_SM-9ZJII.raw,,3/1/2017,3/3/2017,1,162,
SM-9ZK9F,Study sample,0231_XAV_iHMP2_CMH_SM-9ZK9F.raw,,3/2/2017,3/5/2017,1,257,
SM-A12KH,Study sample,0483_XAV_iHMP2_CMH_SM-A12KH.raw,,3/9/2017,3/12/2017,2,539,
SM-A12KL,Study sample,0328_XAV_iHMP2_CMH_SM-A12KL.raw,,3/6/2017,3/9/2017,2,366,
SM-A12L2,Study sample,0350_XAV_iHMP2_CMH_SM-A12L2.raw,,3/7/2017,3/9/2017,2,390,
SM-A14C6,Study sample,0364_XAV_iHMP2_CMH_SM-A14C6.raw,,3/7/2017,3/9/2017,2,406,
SM-A14CI,Study sample,0149_XAV_iHMP2_CMH_SM-A14CI.raw,,3/1/2017,3/3/2017,1,167,
SM-A14CQ,Study sample,0458_XAV_iHMP2_CMH_SM-A14CQ.raw,,3/9/2017,3/11/2017,2,510,
SM-A18YS,Study sample,0515_XAV_iHMP2_CMH_SM-A18YS.raw,,3/9/2017,3/13/2017,2,573,
SM-A18Z1,Study sample,0110_XAV_iHMP2_CMH_SM-A18Z1.raw,,2/28/2017,3/2/2017,1,122,
SM-A1C87,Study sample,0214_XAV_iHMP2_CMH_SM-A1C87.raw,,3/2/2017,3/5/2017,1,238,
SM-A1ZUY,Study sample,0065_XAV_iHMP2_CMH_SM-A1ZUY.raw,,2/27/2017,3/1/2017,1,73,
SM-A1ZVJ,Study sample,0180_XAV_iHMP2_CMH_SM-A1ZVJ.raw,,3/1/2017,3/4/2017,1,200,
SM-A2BG6,Study sample,0206_XAV_iHMP2_CMH_SM-A2BG6.raw,,3/2/2017,3/4/2017,1,230,
SM-A2HYM,Study sample,0425_XAV_iHMP2_CMH_SM-A2HYM.raw,,3/8/2017,3/11/2017,2,475,
SM-A2HYU,Study sample,0212_XAV_iHMP2_CMH_SM-A2HYU.raw,,3/2/2017,3/5/2017,1,236,
SM-A2HYY,Study sample,0545_XAV_iHMP2_CMH_SM-A2HYY.raw,,3/9/2017,3/13/2017,2,607,
SM-A312T,Study sample,0013_XAV_iHMP2_CMH_SM-A312T.raw,,2/27/2017,2/28/2017,1,15,
SM-A373R,Study sample,0045_XAV_iHMP2_CMH_SM-A373R.raw,,2/27/2017,3/1/2017,1,51,
SM-A3744,Study sample,0226_XAV_iHMP2_CMH_SM-A3744.raw,,3/2/2017,3/5/2017,1,252,
SM-A375P,Study sample,0543_XAV_iHMP2_CMH_SM-A375P.raw,,3/9/2017,3/13/2017,2,605,
SM-A3J7F,Study sample,0101_XAV_iHMP2_CMH_SM-A3J7F.raw,,2/28/2017,3/2/2017,1,113,
SM-A47RS,Study sample,0089_XAV_iHMP2_CMH_SM-A47RS.raw,,2/28/2017,3/2/2017,1,99,
SM-A47S3,Study sample,0463_XAV_iHMP2_CMH_SM-A47S3.raw,,3/9/2017,3/12/2017,2,517,
SM-A4O3C,Study sample,0479_XAV_iHMP2_CMH_SM-A4O3C.raw,,3/9/2017,3/12/2017,2,533,
SM-A4UVT,Study sample,0394_XAV_iHMP2_CMH_SM-A4UVT.raw,,3/8/2017,3/10/2017,2,440,
SM-A5A1N,Study sample,0202_XAV_iHMP2_CMH_SM-A5A1N.raw,,3/2/2017,3/4/2017,1,226,
SM-A5A1R,Study sample,0034_XAV_iHMP2_CMH_SM-A5A1R.raw,,2/27/2017,3/1/2017,1,38,
SM-A5A1V,Study sample,0230_XAV_iHMP2_CMH_SM-A5A1V.raw,,3/2/2017,3/5/2017,1,256,
SM-A5QMX,Study sample,0493_XAV_iHMP2_CMH_SM-A5QMX.raw,,3/9/2017,3/12/2017,2,549,
SM-A5QN2,Study sample,0072_XAV_iHMP2_CMH_SM-A5QN2.raw,,2/28/2017,3/1/2017,1,80,
SM-A5QNE,Study sample,0011_XAV_iHMP2_CMH_SM-A5QNE.raw,,2/27/2017,2/28/2017,1,13,
SM-A61QC,Study sample,0512_XAV_iHMP2_CMH_SM-A61QC.raw,,3/9/2017,3/13/2017,2,570,
SM-A61QG,Study sample,0126_XAV_iHMP2_CMH_SM-A61QG.raw,,2/28/2017,3/3/2017,1,142,
SM-A62BX,Study sample,0050_XAV_iHMP2_CMH_SM-A62BX.raw,,2/27/2017,3/1/2017,1,56,
SM-A72E7,Study sample,0315_XAV_iHMP2_CMH_SM-A72E7.raw,,3/6/2017,3/8/2017,2,351,
SM-A77UE,Study sample,0106_XAV_iHMP2_CMH_SM-A77UE.raw,,2/28/2017,3/2/2017,1,118,
SM-A77UI,Study sample,0254_XAV_iHMP2_CMH_SM-A77UI.raw,,3/2/2017,3/5/2017,1,282,PREFB15
SM-A77UY,Study sample,0184_XAV_iHMP2_CMH_SM-A77UY.raw,,3/1/2017,3/4/2017,1,206,
SM-A77WI,Study sample,0357_XAV_iHMP2_CMH_SM-A77WI.raw,,3/7/2017,3/9/2017,2,397,
SM-A7J1H,Study sample,0287_XAV_iHMP2_CMH_SM-A7J1H.raw,,3/6/2017,3/8/2017,2,321,PREFB18
SM-A7J1L,Study sample,0033_XAV_iHMP2_CMH_SM-A7J1L.raw,,2/27/2017,3/1/2017,1,37,
SM-A7J1X,Study sample,0022_XAV_iHMP2_CMH_SM-A7J1X.raw,,2/27/2017,2/28/2017,1,26,
SM-A8MJS,Study sample,0389_XAV_iHMP2_CMH_SM-A8MJS.raw,,3/7/2017,3/10/2017,2,435,
SM-A8XLM,Study sample,0451_XAV_iHMP2_CMH_SM-A8XLM.raw,,3/9/2017,3/11/2017,2,503,
SM-A9F53,Study sample,0137_XAV_iHMP2_CMH_SM-A9F53.raw,,3/1/2017,3/3/2017,1,153,
SM-A9F5B,Study sample,0308_XAV_iHMP2_CMH_SM-A9F5B.raw,,3/6/2017,3/8/2017,2,344,
SM-A9F5R,Study sample,0367_XAV_iHMP2_CMH_SM-A9F5R.raw,,3/7/2017,3/9/2017,2,409,
SM-A9F6G,Study sample,0330_XAV_iHMP2_CMH_SM-A9F6G.raw,,3/6/2017,3/9/2017,2,368,
SM-A9F71,Study sample,0408_XAV_iHMP2_CMH_SM-A9F71.raw,,3/8/2017,3/10/2017,2,456,
SM-A9F75,Study sample,0547_XAV_iHMP2_CMH_SM-A9F75.raw,,3/9/2017,3/13/2017,2,609,
SM-A9J97,Study sample,0169_XAV_iHMP2_CMH_SM-A9J97.raw,,3/1/2017,3/4/2017,1,189,
SM-A9J9N,Study sample,0342_XAV_iHMP2_CMH_SM-A9J9N.raw,,3/7/2017,3/9/2017,2,382,
SM-A9VSE,Study sample,0079_XAV_iHMP2_CMH_SM-A9VSE.raw,,2/28/2017,3/2/2017,1,87,
SM-AADKW,Study sample,0327_XAV_iHMP2_CMH_SM-AADKW.raw,,3/6/2017,3/9/2017,2,365,
SM-AADL1,Study sample,0055_XAV_iHMP2_CMH_SM-AADL1.raw,,2/27/2017,3/1/2017,1,61,
SM-AAHYA,Study sample,0513_XAV_iHMP2_CMH_SM-AAHYA.raw,,3/9/2017,3/13/2017,2,571,
SM-AAHYE,Study sample,0216_XAV_iHMP2_CMH_SM-AAHYE.raw,,3/2/2017,3/5/2017,1,240,
SM-ACTNE,Study sample,0502_XAV_iHMP2_CMH_SM-ACTNE.raw,,3/9/2017,3/12/2017,2,560,
SM-ACTNU,Study sample,0211_XAV_iHMP2_CMH_SM-ACTNU.raw,,3/2/2017,3/5/2017,1,235,
SM-ACTNY,Study sample,0067_XAV_iHMP2_CMH_SM-ACTNY.raw,,2/27/2017,3/1/2017,1,75,
SM-ACTOF,Study sample,0032_XAV_iHMP2_CMH_SM-ACTOF.raw,,2/27/2017,3/1/2017,1,36,
SM-ADDEW,Study sample,0501_XAV_iHMP2_CMH_SM-ADDEW.raw,,3/9/2017,3/12/2017,2,559,
SM-ADDF5,Study sample,0298_XAV_iHMP2_CMH_SM-ADDF5.raw,,3/6/2017,3/8/2017,2,332,PREFB18
SM-ADICO,Study sample,0232_XAV_iHMP2_CMH_SM-ADICO.raw,,3/2/2017,3/5/2017,1,258,
SM-ADID5,Study sample,0312_XAV_iHMP2_CMH_SM-ADID5.raw,,3/6/2017,3/8/2017,2,348,
SM-ADYKC,Study sample,0200_XAV_iHMP2_CMH_SM-ADYKC.raw,,3/2/2017,3/4/2017,1,222,
SM-AE3QV,Study sample,0519_XAV_iHMP2_CMH_SM-AE3QV.raw,,3/9/2017,3/13/2017,2,577,
SM-AE3RC,Study sample,0362_XAV_iHMP2_CMH_SM-AE3RC.raw,,3/7/2017,3/9/2017,2,404,
SM-AEB6U,Study sample,0227_XAV_iHMP2_CMH_SM-AEB6U.raw,,3/2/2017,3/5/2017,1,253,
SM-AF6M6,Study sample,0205_XAV_iHMP2_CMH_SM-AF6M6.raw,,3/2/2017,3/4/2017,1,229,
SM-AF6MI,Study sample,0088_XAV_iHMP2_CMH_SM-AF6MI.raw,,2/28/2017,3/2/2017,1,98,
SM-AF6MY,Study sample,0111_XAV_iHMP2_CMH_SM-AF6MY.raw,,2/28/2017,3/2/2017,1,123,
SM-AF6NB,Study sample,0396_XAV_iHMP2_CMH_SM-AF6NB.raw,,3/8/2017,3/10/2017,2,442,
SM-AFCK9,Study sample,0533_XAV_iHMP2_CMH_SM-AFCK9.raw,,3/9/2017,3/13/2017,2,593,
SM-AFCKD,Study sample,0401_XAV_iHMP2_CMH_SM-AFCKD.raw,,3/8/2017,3/10/2017,2,449,
SM-AFCKH,Study sample,0023_XAV_iHMP2_CMH_SM-AFCKH.raw,,2/27/2017,2/28/2017,1,27,
SM-AFJ1N,Study sample,0484_XAV_iHMP2_CMH_SM-AFJ1N.raw,,3/9/2017,3/12/2017,2,540,
SM-AFSHZ,Study sample,0523_XAV_iHMP2_CMH_SM-AFSHZ.raw,,3/9/2017,3/13/2017,2,583,
SM-AFSIG,Study sample,0461_XAV_iHMP2_CMH_SM-AFSIG.raw,,3/9/2017,3/11/2017,2,515,
SM-AFSIK,Study sample,0352_XAV_iHMP2_CMH_SM-AFSIK.raw,,3/7/2017,3/9/2017,2,392,
SM-AFSIO,Study sample,0455_XAV_iHMP2_CMH_SM-AFSIO.raw,,3/9/2017,3/11/2017,2,507,
SM-AG2E3,Study sample,0108_XAV_iHMP2_CMH_SM-AG2E3.raw,,2/28/2017,3/2/2017,1,120,
SM-AG78Z,Study sample,0097_XAV_iHMP2_CMH_SM-AG78Z.raw,,2/28/2017,3/2/2017,1,107,
SM-AGULV,Study sample,0405_XAV_iHMP2_CMH_SM-AGULV.raw,,3/8/2017,3/10/2017,2,453,
